# "DATUM_CODE","DATUM_NAME","DX","DY","DZ"
1026,"Taiwan Datum 1997",0,0,0,,,,
1029,"Iraqi Geospatial Reference System",0,0,0,,,,
1031,"MGI 1901",682,-203,480,,,,
1032,"MOLDREF99",0,0,0,,,,
1033,"Reseau Geodesique de la RDC 2005",0,0,0,,,,
6055,"Popular Visualisation Datum",0,0,0,,,,
1034,"Serbian Reference Network 1998",0,0,0,,,,
1035,"Red Geodesica de Canarias 1995",0,0,0,,,,
6121,"Greek Geodetic Reference System 1987","-199.87","74.79","246.62",,,,
6125,"Samboja","-404.78","685.68","45.47",,,,
6131,"Indian 1960",198,881,317,,,,
6132,"Final Datum 1958","-241.54","-163.64","396.06",,,,
6135,"Old Hawaiian",61,-285,-181,,,,
6139,"Puerto Rico",11,72,-101,,,,
6140,"NAD83 Canadian Spatial Reference System",0,0,0,,,,
6141,"Israel",-48,55,52,,,,
6142,"Locodjo 1965",-125,53,467,,,,
6143,"Abidjan 1987","-124.76",53,"466.79",,,,
6144,"Kalianpur 1937",214,804,268,,,,
6145,"Kalianpur 1962",283,682,231,,,,
6146,"Kalianpur 1975",295,736,257,,,,
6147,"Hanoi 1972","-17.51","-108.32","-62.39",,,,
6148,"Hartebeesthoek94",0,0,0,,,,
6149,"CH1903","674.4","15.1","405.3",,,,
6150,"CH1903+",674374,15056,405346,,,,
6151,"Swiss Terrestrial Reference Frame 1995",0,0,0,,,,
6152,"NAD83 (High Accuracy Reference Network)",0,0,0,,,,
6153,"Rassadiran","-133.63","-157.5","-158.62",,,,
6154,"European Datum 1950(1977)",-117,-132,-164,,,,
6155,"Dabola 1981",-83,37,124,,,,
6156,"System Jednotne Trigonometricke Site Katastralni",589,76,480,,,,
6158,"Naparima 1955",-465,372095,171736,,,,
6159,"European Libyan Datum 1979","-115.8543","-99.0583","-152.4616",,,,
6161,"Pampa del Castillo","27.5",14,"186.4",,,,
6163,"Yemen National Geodetic Network 1996",0,0,0,,,,
6164,"South Yemen",-76,-138,67,,,,
6165,"Bissau",-173,253,27,,,,
6166,"Korean Datum 1995",0,0,0,,,,
6167,"New Zealand Geodetic Datum 2000",0,0,0,,,,
6168,"Accra",-199,32,322,,,,
6169,"American Samoa 1962",-115,118,426,,,,
6170,"Sistema de Referencia Geocentrico para America del Sur 1995",0,0,0,,,,
6171,"Reseau Geodesique Francais 1993",0,0,0,,,,
6172,"Posiciones Geodesicas Argentinas",0,0,0,,,,
6173,"IRENET95",0,0,0,,,,
6175,"Sierra Leone 1968",-88,4,101,,,,
6176,"Australian Antarctic Datum 1998",0,0,0,,,,
6178,"Pulkovo 1942(83)",26,-121,-78,,,,
6180,"Estonia 1997",0,0,0,,,,
6182,"Azores Occidental Islands 1939",-425,-169,81,,,,
6183,"Azores Central Islands 1948",-104,167,-38,,,,
6184,"Azores Oriental Islands 1940",-203,141,53,,,,
6189,"Red Geodesica Venezolana",0,0,0,,,,
6190,"Posiciones Geodesicas Argentinas 1998",0,0,0,,,,
6192,"Douala 1948","-206.1","-174.7","-87.7",,,,
